time,heartrate,watts,temperature,interval
522,113,145,kald,0
523,116,145,kald,0
524,115,146,kald,0
525,116,146,kald,0
526,115,138,kald,0
527,115,144,kald,0
528,116,146,kald,0
529,115,149,kald,0
530,116,146,kald,0
531,117,146,kald,0
532,117,146,kald,0
533,117,147,kald,0
534,118,145,kald,0
535,119,146,kald,0
536,120,144,kald,0
537,122,145,kald,0
538,121,145,kald,0
539,119,147,kald,0
540,119,141,kald,0
541,119,146,kald,0
542,120,142,kald,0
543,123,145,kald,0
544,124,146,kald,0
545,126,145,kald,0
546,126,144,kald,0
547,126,145,kald,0
548,126,146,kald,0
549,126,145,kald,0
550,127,147,kald,0
551,126,142,kald,0
552,126,145,kald,0
553,126,144,kald,0
554,126,146,kald,0
555,126,146,kald,0
556,126,144,kald,0
557,128,146,kald,0
558,127,144,kald,0
559,127,145,kald,0
560,126,146,kald,0
561,123,144,kald,0
562,122,146,kald,0
563,124,145,kald,0
564,126,145,kald,0
565,128,146,kald,0
566,129,146,kald,0
567,128,145,kald,0
568,126,139,kald,0
569,126,145,kald,0
570,120,144,kald,0
571,120,145,kald,0
572,120,141,kald,0
573,121,145,kald,0
574,122,141,kald,0
575,122,145,kald,0
576,124,143,kald,0
577,122,147,kald,0
578,124,146,kald,0
579,124,145,kald,0
580,127,146,kald,0
581,128,144,kald,0
582,128,145,kald,0
583,128,144,kald,0
584,128,144,kald,0
585,128,146,kald,0
586,129,145,kald,0
587,129,146,kald,0
588,128,145,kald,0
589,126,147,kald,0
590,126,145,kald,0
591,126,145,kald,0
592,126,146,kald,0
593,126,141,kald,0
594,128,144,kald,0
595,128,147,kald,0
596,128,147,kald,0
597,127,146,kald,0
598,126,146,kald,0
599,125,145,kald,0
600,125,147,kald,0
601,125,146,kald,0
602,127,147,kald,0
603,130,145,kald,0
604,130,128,kald,0
605,131,16,kald,0
606,131,25,kald,0
607,131,0,kald,0
608,131,0,kald,0
609,131,0,kald,0
610,132,0,kald,0
611,132,0,kald,0
612,133,0,kald,0
613,132,0,kald,0
614,131,0,kald,0
615,128,0,kald,0
616,126,0,kald,0
617,123,0,kald,0
618,124,0,kald,0
619,124,0,kald,0
620,124,0,kald,0
621,123,0,kald,0
622,122,0,kald,0
623,120,0,kald,0
624,119,0,kald,0
625,117,0,kald,0
626,113,0,kald,0
627,112,0,kald,0
628,111,0,kald,0
629,110,0,kald,0
630,113,0,kald,0
631,114,0,kald,0
632,114,0,kald,0
633,114,95,kald,0
634,114,151,kald,0
635,117,122,kald,0
636,117,132,kald,0
637,119,132,kald,0
638,118,131,kald,0
639,118,132,kald,0
640,118,132,kald,0
641,118,136,kald,0
642,118,132,kald,0
643,119,132,kald,0
644,120,130,kald,0
645,121,130,kald,0
646,121,130,kald,0
647,120,139,kald,0
648,118,17,kald,0
649,119,0,kald,0
650,119,0,kald,0
651,118,0,kald,0
652,117,9,kald,0
653,117,0,kald,0
654,118,0,kald,0
655,119,0,kald,0
656,119,0,kald,0
657,119,0,kald,0
658,119,0,kald,0
659,120,0,kald,0
749,107,64,kald,0
750,109,56,kald,0
751,110,65,kald,0
752,111,88,kald,0
753,108,102,kald,0
754,108,140,kald,0
755,104,131,kald,0
756,103,141,kald,0
757,104,140,kald,0
758,105,136,kald,0
759,110,145,kald,0
760,114,144,kald,0
761,115,140,kald,0
762,117,143,kald,0
763,120,145,kald,0
764,121,144,kald,0
765,123,145,kald,0
766,126,143,kald,0
767,126,144,kald,0
768,126,144,kald,0
769,126,140,kald,0
770,126,141,kald,0
771,126,151,kald,0
772,128,147,kald,0
773,129,148,kald,0
774,130,142,kald,0
775,132,132,kald,0
776,132,143,kald,0
777,133,138,kald,0
778,136,135,kald,0
779,136,132,kald,0
780,135,138,kald,0
781,136,139,kald,0
782,135,130,kald,0
783,137,135,kald,0
784,138,135,kald,0
785,137,134,kald,0
786,137,134,kald,0
787,136,136,kald,0
788,134,136,kald,0
789,134,138,kald,0
790,134,138,kald,0
791,134,140,kald,0
792,134,139,kald,0
793,134,134,kald,0
794,135,134,kald,0
795,134,133,kald,0
796,134,136,kald,0
797,133,141,kald,0
798,133,139,kald,0
799,130,136,kald,0
800,130,131,kald,0
801,129,141,kald,0
802,129,139,kald,0
803,129,140,kald,0
804,130,136,kald,NA
805,132,136,kald,1
806,132,134,kald,1
807,131,139,kald,1
808,131,139,kald,1
809,129,135,kald,1
810,129,132,kald,1
811,128,133,kald,1
812,127,152,kald,1
813,126,138,kald,1
814,127,142,kald,1
815,127,134,kald,1
816,127,136,kald,1
817,127,135,kald,1
818,128,134,kald,1
819,129,136,kald,1
820,130,136,kald,1
821,132,132,kald,1
822,132,134,kald,1
823,132,134,kald,1
824,132,134,kald,1
825,132,187,kald,1
826,132,233,kald,1
827,135,193,kald,1
828,138,208,kald,1
829,138,211,kald,1
830,139,219,kald,1
831,139,216,kald,1
832,138,209,kald,1
833,138,214,kald,1
834,138,215,kald,1
835,138,211,kald,1
836,138,215,kald,1
837,138,215,kald,1
838,138,218,kald,1
839,138,215,kald,1
840,139,215,kald,1
841,139,216,kald,1
842,139,215,kald,1
843,138,215,kald,1
844,139,215,kald,1
845,138,212,kald,1
846,139,219,kald,1
847,139,216,kald,1
848,139,219,kald,1
849,140,216,kald,1
850,139,210,kald,1
851,138,214,kald,1
852,138,218,kald,1
853,139,210,kald,1
854,139,211,kald,1
855,139,211,kald,1
856,139,214,kald,1
857,140,218,kald,1
858,140,218,kald,1
859,140,215,kald,1
860,140,211,kald,1
861,142,215,kald,1
862,142,217,kald,1
863,142,215,kald,1
864,142,215,kald,1
865,142,215,kald,1
866,143,214,kald,1
867,142,214,kald,1
868,142,218,kald,1
869,145,215,kald,1
870,146,215,kald,1
871,146,216,kald,1
872,145,214,kald,1
873,144,215,kald,1
874,144,215,kald,1
875,144,215,kald,1
876,142,214,kald,1
877,143,214,kald,1
878,143,214,kald,1
879,143,215,kald,1
880,144,214,kald,1
881,143,215,kald,1
882,143,215,kald,1
883,143,218,kald,1
884,144,215,kald,1
885,143,215,kald,1
886,144,214,kald,1
887,144,216,kald,1
888,145,218,kald,1
889,145,215,kald,1
890,146,212,kald,1
891,146,216,kald,1
892,147,215,kald,1
893,147,219,kald,1
894,147,217,kald,1
895,146,220,kald,1
896,147,209,kald,1
897,148,214,kald,1
898,148,214,kald,1
899,149,211,kald,1
900,149,213,kald,1
901,149,213,kald,1
902,150,211,kald,1
903,150,214,kald,1
904,150,215,kald,1
905,148,214,kald,1
906,150,214,kald,1
907,150,215,kald,1
908,150,216,kald,1
909,149,214,kald,1
910,150,214,kald,1
911,149,215,kald,1
912,150,214,kald,1
913,150,214,kald,1
914,151,218,kald,1
915,150,215,kald,1
916,151,217,kald,1
917,150,215,kald,1
918,152,208,kald,1
919,151,217,kald,1
920,152,213,kald,1
921,152,215,kald,1
922,153,213,kald,1
923,152,213,kald,1
924,152,215,kald,1
925,152,215,kald,1
926,151,215,kald,1
927,151,216,kald,1
928,151,215,kald,1
929,151,218,kald,1
930,151,214,kald,1
931,152,214,kald,1
932,152,216,kald,1
933,153,214,kald,1
934,152,214,kald,1
935,152,215,kald,1
936,153,214,kald,1
937,153,213,kald,1
938,153,215,kald,1
939,153,215,kald,1
940,153,217,kald,1
941,152,216,kald,1
942,152,211,kald,1
943,154,215,kald,1
944,155,216,kald,1
945,156,216,kald,1
946,157,214,kald,1
947,158,211,kald,1
948,159,208,kald,1
949,159,215,kald,1
950,159,215,kald,1
951,160,215,kald,1
952,159,215,kald,1
953,160,213,kald,1
954,160,216,kald,1
955,160,216,kald,1
956,159,217,kald,1
957,158,214,kald,1
958,159,213,kald,1
959,159,218,kald,1
960,158,213,kald,1
961,158,214,kald,1
962,159,215,kald,1
963,159,218,kald,1
964,158,216,kald,1
965,158,215,kald,1
966,158,217,kald,1
967,158,214,kald,1
968,157,220,kald,1
969,156,211,kald,1
970,157,210,kald,1
971,157,216,kald,1
972,156,214,kald,1
973,156,215,kald,1
974,155,209,kald,1
975,155,214,kald,1
976,155,216,kald,1
977,155,213,kald,1
978,154,214,kald,1
979,154,215,kald,1
980,156,211,kald,1
981,158,215,kald,1
982,158,216,kald,1
983,159,214,kald,1
984,159,216,kald,1
985,159,216,kald,1
986,159,213,kald,1
987,159,220,kald,1
988,159,217,kald,1
989,159,216,kald,1
990,159,215,kald,1
991,159,218,kald,1
992,158,214,kald,1
993,158,215,kald,1
994,159,214,kald,1
995,158,214,kald,1
996,159,211,kald,1
997,159,216,kald,1
998,159,215,kald,1
999,159,217,kald,1
1000,159,217,kald,1
1001,159,210,kald,1
1002,159,215,kald,1
1003,158,214,kald,1
1004,158,214,kald,1
1005,158,217,kald,1
1006,158,220,kald,1
1007,158,213,kald,1
1008,159,215,kald,1
1009,159,218,kald,1
1010,159,217,kald,1
1011,160,216,kald,1
1012,160,214,kald,1
1013,161,215,kald,1
1014,161,214,kald,1
1015,161,216,kald,1
1016,161,218,kald,1
1017,161,218,kald,1
1018,161,212,kald,1
1019,161,214,kald,1
1020,160,215,kald,1
1021,160,214,kald,1
1022,160,211,kald,1
1023,160,216,kald,1
1024,160,218,kald,1
1025,160,213,kald,1
1026,159,211,kald,1
1027,159,216,kald,1
1028,160,218,kald,1
1029,160,215,kald,1
1030,161,215,kald,1
1031,161,215,kald,1
1032,161,216,kald,1
1033,161,216,kald,1
1034,162,215,kald,1
1035,161,215,kald,1
1036,162,215,kald,1
1037,162,214,kald,1
1038,163,217,kald,1
1039,163,214,kald,1
1040,163,215,kald,1
1041,162,214,kald,1
1042,163,215,kald,1
1043,163,215,kald,1
1044,163,216,kald,1
1045,163,220,kald,1
1046,163,214,kald,1
1047,163,216,kald,1
1048,163,215,kald,1
1049,163,215,kald,1
1050,164,214,kald,1
1051,163,216,kald,1
1052,162,214,kald,1
1053,161,216,kald,1
1054,161,215,kald,1
1055,160,216,kald,1
1056,159,215,kald,1
1057,160,215,kald,1
1058,160,215,kald,1
1059,160,212,kald,1
1060,160,220,kald,1
1061,160,215,kald,1
1062,161,211,kald,1
1063,161,214,kald,1
1064,161,214,kald,1
1065,162,214,kald,1
1066,163,215,kald,1
1067,163,215,kald,1
1068,164,212,kald,1
1069,164,215,kald,1
1070,164,216,kald,1
1071,163,212,kald,1
1072,163,214,kald,1
1073,162,215,kald,1
1074,163,215,kald,1
1075,163,215,kald,1
1076,163,215,kald,1
1077,163,218,kald,1
1078,163,214,kald,1
1079,163,214,kald,1
1080,162,218,kald,1
1081,161,218,kald,1
1082,161,216,kald,1
1083,161,217,kald,1
1084,161,215,kald,1
1085,161,215,kald,1
1086,161,213,kald,1
1087,162,214,kald,1
1088,162,215,kald,1
1089,162,217,kald,1
1090,163,214,kald,1
1091,163,217,kald,1
1092,163,214,kald,1
1093,163,214,kald,1
1094,163,215,kald,1
1095,163,214,kald,1
1096,163,214,kald,1
1097,162,214,kald,1
1098,162,214,kald,1
1099,162,216,kald,1
1100,163,216,kald,1
1101,163,210,kald,1
1102,164,212,kald,1
1103,164,213,kald,1
1104,165,210,kald,NA
1105,165,216,kald,NA
1106,165,208,kald,NA
1107,166,214,kald,NA
1108,165,216,kald,NA
1109,165,214,kald,NA
1110,165,210,kald,NA
1111,165,215,kald,NA
1112,165,211,kald,NA
1113,166,214,kald,NA
1114,166,217,kald,NA
1115,166,215,kald,NA
1116,166,215,kald,NA
1117,166,215,kald,NA
1118,165,216,kald,NA
1119,165,215,kald,NA
1120,165,212,kald,NA
1121,165,215,kald,NA
1122,165,214,kald,NA
1123,165,215,kald,NA
1124,165,217,kald,NA
1125,165,216,kald,NA
1126,165,215,kald,NA
1127,165,216,kald,NA
1128,165,221,kald,NA
1129,165,66,kald,NA
1130,166,42,kald,NA
1131,166,19,kald,NA
1132,166,13,kald,NA
1133,167,0,kald,NA
1134,167,0,kald,NA
1135,167,0,kald,NA
1136,167,0,kald,NA
1152,153,24,kald,NA
1153,152,126,kald,NA
1154,152,121,kald,NA
1155,153,102,kald,NA
1156,153,112,kald,NA
1157,153,110,kald,NA
1158,151,113,kald,NA
1159,151,120,kald,NA
1160,150,121,kald,NA
1161,151,107,kald,NA
1162,151,111,kald,NA
1163,152,114,kald,NA
1164,152,115,kald,NA
1165,152,113,kald,NA
1166,152,105,kald,NA
1167,151,130,kald,NA
1168,151,117,kald,NA
1169,152,112,kald,NA
1170,153,114,kald,NA
1171,152,116,kald,NA
1172,151,116,kald,NA
1173,149,114,kald,NA
1174,148,113,kald,NA
1175,148,114,kald,NA
1176,146,113,kald,NA
1177,145,112,kald,NA
1178,144,112,kald,NA
1179,143,115,kald,NA
1180,142,116,kald,NA
1181,143,114,kald,NA
1182,145,110,kald,NA
1183,146,109,kald,NA
1184,146,108,kald,NA
1185,142,102,kald,NA
1186,139,110,kald,NA
1187,138,72,kald,NA
1188,137,80,kald,NA
1189,137,173,kald,NA
1190,137,127,kald,NA
1191,139,129,kald,NA
1192,139,117,kald,NA
1193,139,125,kald,NA
1194,139,129,kald,NA
1195,140,133,kald,NA
1196,139,135,kald,NA
1197,137,140,kald,NA
1198,136,141,kald,NA
1199,135,137,kald,NA
1200,135,135,kald,NA
1201,136,133,kald,NA
1202,137,132,kald,NA
1203,137,124,kald,NA
1204,137,130,kald,NA
1205,137,130,kald,NA
1206,137,131,kald,NA
1207,137,131,kald,NA
1208,137,132,kald,NA
1209,137,127,kald,NA
1210,138,127,kald,NA
1211,139,118,kald,NA
1212,142,114,kald,NA
1213,145,109,kald,NA
1214,147,115,kald,NA
1215,147,106,kald,NA
1216,146,111,kald,NA
1217,145,116,kald,NA
1218,144,124,kald,NA
1219,142,128,kald,NA
1220,142,137,kald,NA
1221,142,137,kald,NA
1222,142,136,kald,NA
1223,141,132,kald,NA
1224,141,134,kald,NA
1225,140,135,kald,NA
1226,140,135,kald,NA
1227,139,138,kald,NA
1228,139,136,kald,NA
1229,138,134,kald,NA
1230,139,134,kald,NA
1231,138,132,kald,NA
1232,137,134,kald,NA
1233,137,136,kald,NA
1234,137,135,kald,NA
1235,137,133,kald,NA
1236,137,135,kald,NA
1237,137,135,kald,NA
1238,139,135,kald,NA
1239,140,136,kald,NA
1240,142,137,kald,NA
1241,140,135,kald,NA
1242,139,137,kald,NA
1243,136,135,kald,NA
1244,135,133,kald,NA
1245,135,130,kald,NA
1246,135,130,kald,NA
1247,135,132,kald,NA
1248,135,134,kald,NA
1249,135,135,kald,NA
1250,134,127,kald,NA
1251,132,128,kald,NA
1252,132,133,kald,NA
1253,133,128,kald,NA
1254,134,127,kald,NA
1255,134,129,kald,NA
1256,134,131,kald,NA
1257,134,131,kald,NA
1258,134,130,kald,NA
1259,134,126,kald,NA
1260,134,127,kald,NA
1261,134,128,kald,NA
1262,135,140,kald,NA
1263,135,255,kald,NA
1264,136,241,kald,NA
1265,137,214,kald,NA
1266,137,223,kald,NA
1267,138,226,kald,2
1268,139,213,kald,2
1269,141,214,kald,2
1270,141,207,kald,2
1271,142,214,kald,2
1272,143,214,kald,2
1273,143,218,kald,2
1274,143,214,kald,2
1275,142,215,kald,2
1276,142,211,kald,2
1277,142,219,kald,2
1278,142,211,kald,2
1279,141,218,kald,2
1280,142,215,kald,2
1281,142,211,kald,2
1282,143,216,kald,2
1283,142,215,kald,2
1284,144,213,kald,2
1285,145,214,kald,2
1286,145,214,kald,2
1287,147,219,kald,2
1288,147,210,kald,2
1289,147,219,kald,2
1290,146,214,kald,2
1291,145,217,kald,2
1292,146,214,kald,2
1293,145,216,kald,2
1294,146,219,kald,2
1295,146,219,kald,2
1296,146,215,kald,2
1297,147,219,kald,2
1298,148,215,kald,2
1299,147,215,kald,2
1300,149,215,kald,2
1301,149,219,kald,2
1302,149,223,kald,2
1303,152,214,kald,2
1304,153,214,kald,2
1305,153,208,kald,2
1306,153,211,kald,2
1307,152,211,kald,2
1308,152,219,kald,2
1309,151,216,kald,2
1310,151,214,kald,2
1311,150,212,kald,2
1312,150,215,kald,2
1313,149,215,kald,2
1314,148,219,kald,2
1315,148,215,kald,2
1316,149,214,kald,2
1317,149,219,kald,2
1318,148,216,kald,2
1319,148,215,kald,2
1320,147,216,kald,2
1321,148,221,kald,2
1322,148,215,kald,2
1323,150,219,kald,2
1324,150,211,kald,2
1325,150,212,kald,2
1326,150,220,kald,2
1327,149,214,kald,2
1328,149,211,kald,2
1329,150,216,kald,2
1330,150,217,kald,2
