time,heartrate,watts,temperature,interval
2048,157,130,varm,NA
2049,156,128,varm,NA
2050,155,128,varm,NA
2051,155,130,varm,NA
2052,154,130,varm,NA
2053,153,132,varm,NA
2054,153,133,varm,NA
2055,152,134,varm,NA
2056,151,133,varm,NA
2057,150,106,varm,NA
2058,150,53,varm,NA
2059,150,27,varm,NA
2060,149,41,varm,NA
2061,149,20,varm,NA
2062,149,8,varm,NA
2063,149,8,varm,NA
2064,149,152,varm,NA
2065,151,132,varm,NA
2066,151,124,varm,NA
2067,151,130,varm,NA
2068,150,130,varm,NA
2069,150,130,varm,NA
2070,150,132,varm,NA
2071,151,132,varm,NA
2072,151,132,varm,NA
2073,151,134,varm,NA
2074,151,134,varm,NA
2075,151,133,varm,NA
2076,151,128,varm,NA
2077,151,130,varm,NA
2078,151,55,varm,NA
2079,151,126,varm,NA
2080,151,126,varm,NA
2081,150,129,varm,NA
2082,149,128,varm,NA
2083,148,120,varm,NA
2084,148,123,varm,NA
2085,149,124,varm,NA
2086,150,121,varm,NA
2087,152,121,varm,NA
2088,153,119,varm,NA
2089,153,116,varm,NA
2090,153,124,varm,NA
2091,152,122,varm,NA
2092,151,118,varm,NA
2093,151,92,varm,NA
2094,151,49,varm,NA
2095,151,118,varm,NA
2096,153,126,varm,NA
2097,153,118,varm,NA
2098,153,123,varm,NA
2099,152,119,varm,NA
2100,150,132,varm,NA
2101,150,162,varm,4
2102,148,175,varm,4
2103,148,247,varm,4
2104,148,224,varm,4
2105,147,232,varm,4
2106,148,227,varm,4
2107,148,222,varm,4
2108,148,223,varm,4
2109,148,222,varm,4
2110,148,241,varm,4
2111,149,244,varm,4
2112,148,251,varm,4
2113,149,249,varm,4
2114,150,251,varm,4
2115,150,249,varm,4
2116,151,234,varm,4
2117,151,226,varm,4
2118,152,226,varm,4
2119,152,227,varm,4
2120,152,233,varm,4
2121,152,246,varm,4
2122,153,254,varm,4
2123,153,227,varm,4
2124,153,231,varm,4
2125,154,223,varm,4
2126,153,222,varm,4
2127,153,236,varm,4
